id,age,sex,race,specialty,weeks_per_year,hours_per_week,it_use,minority_health_cme,survey_weight
500067,45,F,Asian,Pediatrics,49,48,Available and used,1,127.065371
500068,50,M,White,Medical Specialties,48,30,Available and used,0,98.382981
500069,45,F,Asian,Medical Specialties,52,80,Available and used,0,95.23011600000001
500070,35,F,White,Pediatrics,50,40,Available and used,0,93.137693
500071,35,F,White,Surgical Specialties,48,51,Not available,0,100.817189
500072,40,M,White,Family/GP,48,43,Available and used,1,71.76938
500073,55,M,White,Family/GP,49,75,Available and used,0,85.62645400000001
500074,60,M,White,Psychiatry,50,53,Available and used,0,93.17187
500075,55,M,White,Medical Specialties,50,70,Available and used,1,97.075942
500076,50,F,White,Internal Medicine,46,32,Available and used,0,90.7825
500077,55,M,White,Medical Specialties,48,70,Available and used,1,89.25161800000001
500078,40,F,White,Surgical Specialties,46,80,Available and used,0,94.877235
500079,35,M,White,Medical Specialties,48,67,Not available,1,73.667884
500080,50,F,Black,Pediatrics,46,46,Available and used,-9,81.664576
500081,35,M,White,Ob/Gyn,48,80,Available and used,1,84.677749
500082,40,M,White,Surgical Specialties,52,70,Available and used,0,112.41066799999999
500083,35,M,White,Family/GP,48,68,Available and used,0,93.45651
500084,65,F,Asian,Pediatrics,47,80,Available and used,1,86.973957
500085,55,M,Hispanic,Surgical Specialties,49,54,Available and used,0,76.35451
500086,50,F,White,Surgical Specialties,50,55,Available and used,0,117.54711100000002
500087,35,M,Asian,Internal Medicine,44,40,Available and used,0,117.13632700000001
500088,55,F,White,Pediatrics,47,34,Available and used,0,66.40343100000001
500089,60,M,White,Internal Medicine,49,36,Available and used,0,69.470936
500090,50,M,White,Family/GP,46,52,Not available,0,73.65661999999999
500091,50,M,Asian,Family/GP,50,64,Not available,0,101.06138399999999
500092,40,F,White,Family/GP,52,40,Available and used,0,84.11477099999999
500093,45,M,White,Internal Medicine,49,52,Available and used,1,91.49505699999999
500094,70,M,,Family/GP,47,50,Available and used,1,63.10674100000001
500095,60,F,White,Psychiatry,47,39,Available and used,1,94.52844
500096,70,M,Hispanic,Internal Medicine,48,23,Not available,1,84.365487
500097,45,F,White,Pediatrics,46,30,Available and used,0,66.366667
500098,50,M,White,Family/GP,52,70,Available and used,1,83.707607
500099,40,F,White,Pediatrics,47,20,Not available,0,83.416004
500100,65,M,White,Family/GP,50,11,"Avaliable, not used",0,82.95013900000001
500101,45,M,Asian,Internal Medicine,51,60,Available and used,0,101.69168499999999
500102,55,M,White,Family/GP,46,35,Available and used,0,86.531863
500103,60,M,White,Surgical Specialties,51,60,Available and used,1,85.064268
500104,50,M,White,Internal Medicine,49,44,Available and used,1,74.149343
500105,50,M,White,Surgical Specialties,47,80,Not available,1,91.564725
500106,35,M,,Medical Specialties,40,35,Available and used,0,83.740983
500107,40,F,Asian,Internal Medicine,48,42,Available and used,0,91.143108
500108,60,F,White,Psychiatry,46,37,Not available,1,78.84141
500109,70,M,White,Psychiatry,44,46,Not available,1,52.162728
500110,50,M,White,Psychiatry,46,35,Available and used,1,96.08380600000001
500111,55,M,Asian,Family/GP,40,50,Available and used,1,84.11871
500112,45,M,White,Family/GP,50,51,Available and used,1,103.178562
500113,65,M,Asian,Pediatrics,50,25,Not available,1,71.503495
500114,60,M,Black,Family/GP,50,8,Available and used,1,72.177836
500115,40,F,White,Ob/Gyn,48,52,Available and used,1,101.89417399999999
500116,65,M,Hispanic,Ob/Gyn,45,65,Available and used,0,82.416841
500117,40,M,White,Family/GP,47,54,Not available,0,75.95361
500118,35,F,Hispanic,Family/GP,50,37,Available and used,0,71.668511
500119,55,F,White,Pediatrics,50,47,Not available,0,75.692717
500120,35,F,Asian,Medical Specialties,50,48,Available and used,0,106.66668500000002
500121,65,M,Other,Surgical Specialties,49,37,Available and used,0,75.274027
500122,65,M,White,Surgical Specialties,47,50,Available and used,0,55.933769999999996
500123,35,M,White,Surgical Specialties,52,45,Available and used,0,82.27225
500124,50,M,White,Surgical Specialties,52,38,Available and used,1,91.356302
500125,45,F,White,Psychiatry,48,52,Available and used,1,104.114393
500126,50,F,White,Family/GP,46,38,Not available,0,98.49897
500127,55,M,White,Medical Specialties,40,38,Available and used,0,70.96565
500128,50,F,White,Ob/Gyn,47,43,Available and used,0,98.78174200000001
500129,55,M,Asian,Medical Specialties,48,48,Available and used,0,122.52613500000001
500130,65,M,White,Psychiatry,48,44,Not available,0,86.947602
500131,45,M,White,Surgical Specialties,47,60,Not available,0,74.21247199999999
500132,55,M,White,Medical Specialties,46,62,Available and used,0,95.955111
500133,70,F,Asian,Pediatrics,48,25,Not available,0,71.372556
500134,50,M,White,Surgical Specialties,49,42,Available and used,0,91.35149799999999
500135,55,M,White,Surgical Specialties,48,42,Not available,0,68.570499
500136,50,M,White,Family/GP,50,60,Available and used,1,85.08713
500137,50,M,Hispanic,Ob/Gyn,45,76,Available and used,1,88.449537
500138,40,M,White,Family/GP,48,34,Available and used,0,70.381817
500139,60,M,White,Surgical Specialties,45,45,Not available,0,93.17187
500140,70,M,White,Internal Medicine,47,57,"Avaliable, not used",1,66.131539
500141,45,M,White,Medical Specialties,45,40,Available and used,0,94.374031
500142,60,M,White,Internal Medicine,48,65,Available and used,0,93.672325
500143,70,M,White,Internal Medicine,48,24,Available and used,0,64.087822
500144,60,M,White,Family/GP,50,70,Not available,0,79.161456
500145,55,F,White,Internal Medicine,44,48,Available and used,1,98.108735
500146,35,M,White,Surgical Specialties,40,28,Available and used,0,84.436921
500147,45,F,White,Family/GP,40,55,Available and used,1,79.97537700000001
500148,45,M,White,Family/GP,47,80,Not available,1,94.922901
500149,40,F,White,Medical Specialties,47,50,Available and used,1,77.940983
500150,50,M,White,Surgical Specialties,46,50,Available and used,0,90.194315
500151,45,F,Asian,Pediatrics,48,60,Available and used,0,56.46195600000001
500152,40,M,White,Surgical Specialties,48,40,Not available,0,98.55851
500153,40,M,White,Internal Medicine,46,67,Available and used,1,84.510062
500154,55,M,,Medical Specialties,46,48,Not available,0,84.086907
500155,50,M,White,Family/GP,46,46,Available and used,1,77.131095
500156,55,M,White,Ob/Gyn,48,60,Available and used,1,73.615325
500157,40,F,White,Medical Specialties,49,32,Available and used,1,93.090506
500158,35,F,Black,Medical Specialties,49,47,Available and used,0,90.389061
500159,40,F,Black,Family/GP,49,50,Available and used,1,93.80572099999999
500160,55,M,White,Surgical Specialties,50,72,Available and used,0,83.418152
500161,65,M,White,Surgical Specialties,50,48,Not available,0,88.286978
500162,35,M,Asian,Medical Specialties,51,53,Available and used,0,108.886346
500163,70,M,White,Medical Specialties,46,70,Available and used,1,77.909549
500164,35,F,White,Ob/Gyn,45,76,Available and used,0,92.386799
500165,40,M,White,Medical Specialties,48,65,Available and used,1,81.535274
500166,40,F,Hispanic,Family/GP,49,50,Available and used,1,86.318792
500167,45,M,White,Internal Medicine,48,80,Available and used,1,97.438663
500168,60,F,White,Ob/Gyn,48,28,Available and used,1,108.424305
500169,55,F,White,Surgical Specialties,50,45,Available and used,1,98.14907
500170,40,M,Asian,Surgical Specialties,48,55,Available and used,0,62.925605000000004
500171,65,M,White,Surgical Specialties,46,60,Available and used,1,77.73540200000001
500172,45,M,White,Medical Specialties,48,54,Available and used,0,66.286571
500173,50,M,White,Medical Specialties,46,42,Available and used,1,93.27490999999999
500174,70,M,White,Medical Specialties,42,40,Available and used,0,75.233262
500175,40,M,Asian,Internal Medicine,48,40,Not available,1,76.984813
500176,40,M,White,Surgical Specialties,48,37,Available and used,0,97.94194499999999
500177,70,M,Asian,Family/GP,46,10,Not available,0,85.005997
500178,65,M,White,Surgical Specialties,44,36,Not available,0,87.213831
500179,45,M,Asian,Surgical Specialties,49,60,Not available,0,103.353305
500180,35,M,White,Medical Specialties,48,37,Available and used,0,92.071484
500181,45,M,Hispanic,Medical Specialties,50,80,Available and used,0,86.70205899999999
500182,50,M,White,Medical Specialties,46,46,Available and used,0,93.05134699999999
500183,35,F,White,Surgical Specialties,52,70,Available and used,0,99.801075
500184,55,M,White,Family/GP,45,62,Available and used,1,70.79690699999999
500185,70,M,White,Family/GP,48,38,Available and used,0,76.142797
500186,40,F,White,Internal Medicine,48,42,Available and used,1,90.670484
500187,45,F,White,Medical Specialties,52,65,Available and used,1,88.82695799999999
500188,70,M,White,Psychiatry,50,40,Not available,1,63.512919
500189,50,M,White,Family/GP,48,50,Available and used,1,98.111215
500190,65,M,Asian,Medical Specialties,44,46,Available and used,0,92.973348
500191,40,F,Hispanic,Pediatrics,40,40,Available and used,1,74.863162
500192,50,M,Asian,Medical Specialties,48,80,Not available,1,87.739929
500193,50,F,Asian,Pediatrics,50,60,Available and used,1,92.87980300000001
500194,45,F,Asian,Family/GP,50,46,Available and used,1,97.24074
500195,50,F,White,Internal Medicine,46,60,Available and used,1,83.591664
500196,50,M,White,Psychiatry,45,40,Available and used,1,74.809659
500197,35,F,Black,Internal Medicine,46,56,Available and used,0,88.50868100000001
500198,40,F,White,Ob/Gyn,45,52,Available and used,1,101.89417399999999
500199,50,F,White,Medical Specialties,40,80,Available and used,1,66.395588
500200,55,M,White,Family/GP,46,50,Available and used,0,77.368421
500201,50,M,White,Medical Specialties,46,36,Available and used,0,73.910537
500202,40,M,Hispanic,Internal Medicine,49,56,Available and used,1,78.811655
500203,55,F,Asian,Medical Specialties,46,44,Available and used,0,75.684027
500204,65,M,White,Internal Medicine,46,55,Available and used,0,78.450357
500205,40,M,White,Medical Specialties,42,60,Available and used,1,94.13865799999999
500206,70,M,White,Medical Specialties,50,45,Not available,1,78.121905
500207,40,M,White,Family/GP,52,40,Available and used,1,78.391384
500208,55,M,White,Medical Specialties,49,80,Available and used,0,82.753875
500209,45,F,Hispanic,Psychiatry,48,14,Available and used,1,90.50055400000001
500210,40,F,White,Medical Specialties,48,40,Available and used,0,100.714184
500211,50,M,White,Ob/Gyn,52,60,"Avaliable, not used",0,130.879281
500212,45,M,White,Surgical Specialties,48,62,Not available,0,77.87217199999999
500213,55,M,Hispanic,Surgical Specialties,50,80,,1,100.22609
500214,40,M,White,Ob/Gyn,50,40,Available and used,0,88.25680200000001
500215,50,M,White,Surgical Specialties,48,60,Available and used,0,75.210193
500216,35,M,Asian,Family/GP,48,50,Available and used,1,78.542934
500217,55,M,White,Internal Medicine,47,64,Available and used,0,78.43163
500218,50,M,Hispanic,Internal Medicine,46,66,Available and used,0,86.348038
500219,60,M,White,Medical Specialties,48,36,Not available,0,95.216599
500220,50,M,White,Pediatrics,45,38,Available and used,1,65.79333000000001
500221,55,M,White,Medical Specialties,48,46,Available and used,0,101.52143000000001
500222,55,M,Other,Family/GP,50,30,Available and used,1,120.28765
500223,55,M,White,Ob/Gyn,50,50,Available and used,1,81.253117
500224,55,M,White,Medical Specialties,48,80,Available and used,1,113.931351
500225,70,M,White,Family/GP,50,48,Available and used,1,82.697089
500226,50,F,Asian,Surgical Specialties,40,35,Available and used,1,70.590438
500227,55,F,White,Ob/Gyn,50,50,Available and used,1,97.50443100000001
500228,50,M,White,Psychiatry,50,30,Not available,0,104.90078700000001
500229,40,F,White,Family/GP,46,30,Available and used,1,82.091966
500230,40,M,White,Medical Specialties,48,48,Available and used,0,73.667884
500231,35,M,White,Internal Medicine,48,65,Available and used,1,97.415088
500232,45,F,White,Ob/Gyn,48,50,Available and used,0,95.850597
500233,60,M,White,Medical Specialties,48,50,Available and used,0,77.42782
500234,55,F,Black,Medical Specialties,40,50,Available and used,0,82.276151
500235,55,M,White,Family/GP,51,80,Available and used,1,94.321107
500236,55,M,White,Medical Specialties,52,63,Available and used,1,95.478415
500237,45,M,Black,Surgical Specialties,50,56,Not available,0,105.02080900000001
500238,55,M,White,Surgical Specialties,44,62,"Avaliable, not used",1,87.642674
500239,45,F,White,Internal Medicine,50,27,Available and used,0,84.999691
500240,45,M,White,Surgical Specialties,48,60,Available and used,0,90.031512
500241,60,F,Other,Psychiatry,49,20,Available and used,1,97.60784100000001
500242,35,M,White,Medical Specialties,50,42,Available and used,0,70.54476
500243,55,M,White,Medical Specialties,46,56,Available and used,1,77.077916
500244,55,M,White,Psychiatry,50,55,Not available,1,64.614511
500245,65,M,Asian,Surgical Specialties,49,35,Available and used,0,87.863837
500246,55,M,White,Surgical Specialties,52,45,Available and used,1,75.521602
500247,70,M,,Surgical Specialties,49,42,Available and used,0,74.263511
500248,55,M,White,Pediatrics,50,60,"Avaliable, not used",1,88.892061
500249,35,F,Hispanic,Pediatrics,42,39,Available and used,0,87.46784699999999
500250,50,M,White,Medical Specialties,48,60,Available and used,1,68.988282
500251,35,M,White,Medical Specialties,45,34,Available and used,0,96.141438
500252,60,M,White,Pediatrics,49,51,Available and used,0,62.320941000000005
500253,65,M,White,Surgical Specialties,48,42,Available and used,0,88.548491
500254,40,F,White,Family/GP,44,38,Available and used,1,92.942952
500255,50,M,White,Psychiatry,48,70,Available and used,1,97.705525
500256,65,F,White,Medical Specialties,50,80,Available and used,0,76.502104
500257,55,F,Asian,Medical Specialties,48,40,Available and used,1,114.29453799999999
500258,55,M,White,Medical Specialties,48,60,"Avaliable, not used",0,91.89625799999999
500259,40,M,Hispanic,Surgical Specialties,49,69,Available and used,0,78.196888
500260,45,M,Asian,Surgical Specialties,48,60,Available and used,0,103.666668
500261,50,M,White,Medical Specialties,48,50,Available and used,0,63.541743000000004
500262,45,M,White,Medical Specialties,47,70,Available and used,0,101.672844
500263,55,F,White,Family/GP,45,50,Available and used,0,90.221354
500264,55,M,White,Surgical Specialties,48,50,Available and used,1,87.982045
500265,55,M,White,Medical Specialties,46,58,Available and used,0,98.068651
500266,45,F,White,Surgical Specialties,48,50,Available and used,0,102.516584
500267,60,F,Asian,Medical Specialties,48,32,Available and used,1,84.6116
500268,50,M,Hispanic,Family/GP,48,60,Available and used,1,87.808706
500269,55,F,Black,Medical Specialties,48,54,Available and used,1,118.76078600000001
500270,35,M,Asian,Internal Medicine,46,80,Available and used,1,75.6724
500271,60,M,White,Surgical Specialties,46,50,Available and used,0,76.814663
500272,60,M,White,Surgical Specialties,48,70,Available and used,0,120.85856000000001
500273,55,M,White,Surgical Specialties,49,49,Available and used,0,111.29448400000001
500274,45,F,Asian,Pediatrics,46,40,Available and used,0,99.21412600000001
500275,40,F,White,Internal Medicine,52,25,Available and used,0,88.25880500000001
500276,35,M,White,Surgical Specialties,48,60,Not available,1,93.433992
500277,60,M,White,Pediatrics,44,27,Available and used,0,60.85008199999999
500278,55,F,Asian,Pediatrics,48,80,Available and used,0,100.54915600000001
500279,55,M,Black,Ob/Gyn,40,24,Available and used,1,98.889712
500280,50,F,Hispanic,Internal Medicine,46,38,"Avaliable, not used",0,80.919325
500281,50,M,White,Medical Specialties,52,41,Available and used,0,65.88640500000001
500282,70,M,Asian,Medical Specialties,48,40,Not available,1,67.307833
500283,55,M,Other,Medical Specialties,48,41,Not available,0,66.340541
500284,55,M,White,Family/GP,44,59,"Avaliable, not used",1,71.321471
500285,50,F,White,Medical Specialties,49,40,Available and used,0,134.67654299999998
500286,70,M,White,Surgical Specialties,46,62,Available and used,-9,63.878893999999995
500287,60,M,White,Surgical Specialties,45,45,Available and used,0,97.200154
500288,35,M,White,Medical Specialties,46,63,Available and used,0,85.246285
500289,35,F,Hispanic,Pediatrics,48,34,Not available,0,94.42082099999999
500290,45,M,White,Medical Specialties,47,60,Available and used,1,90.381437
500291,45,F,White,Family/GP,50,50,Available and used,1,103.899162
500292,50,M,White,Family/GP,50,50,Available and used,0,94.55127399999999
500293,65,M,White,Medical Specialties,48,56,Available and used,1,86.077881
500294,70,M,White,Medical Specialties,49,40,Available and used,0,54.146803000000006
500295,40,F,White,Medical Specialties,40,21,Available and used,1,70.040787
500296,55,M,White,Internal Medicine,50,55,Available and used,0,74.642986
500297,45,M,White,Surgical Specialties,48,80,Available and used,1,87.307964
500298,40,M,White,Ob/Gyn,49,50,Available and used,0,84.493391
500299,65,M,White,Surgical Specialties,49,27,Not available,0,76.492358
500300,60,M,White,Ob/Gyn,49,44,Available and used,1,64.844245
500301,50,M,Asian,Medical Specialties,48,41,Available and used,0,98.36604399999999
500302,60,M,White,Psychiatry,45,42,Available and used,1,102.747752
500303,65,M,,Medical Specialties,48,59,Available and used,1,66.282522
500304,55,F,White,Family/GP,48,41,Available and used,0,76.077164
500305,65,M,White,Internal Medicine,48,34,Available and used,0,96.354407
500306,70,M,White,Surgical Specialties,46,38,Not available,0,61.241825
500307,55,M,White,Psychiatry,40,50,Available and used,1,105.65106200000001
500308,55,M,White,Ob/Gyn,52,8,Available and used,0,74.716135
500309,70,M,White,Surgical Specialties,46,48,Available and used,1,56.105768999999995
500310,50,M,White,Medical Specialties,44,49,Available and used,1,75.90190600000001
500311,50,M,White,Psychiatry,45,50,Available and used,1,80.673653
500312,60,M,White,Medical Specialties,46,66,Available and used,1,73.794889
500313,65,M,White,Internal Medicine,44,54,Available and used,1,93.86939100000001
500314,65,M,,Ob/Gyn,45,40,Available and used,1,94.509555
500315,45,M,,Surgical Specialties,46,40,Available and used,0,100.62800899999999
500316,50,M,White,Medical Specialties,46,45,Available and used,0,91.524541
500317,35,M,White,Family/GP,49,52,Available and used,1,77.43169
500318,40,M,White,Internal Medicine,47,70,Available and used,0,79.872156
500319,40,M,White,Medical Specialties,45,42,Available and used,0,92.48869300000001
500320,50,F,White,Surgical Specialties,45,35,Available and used,0,91.188737
500321,45,M,White,Family/GP,48,48,Available and used,0,85.989076
500322,65,M,White,Ob/Gyn,52,35,Available and used,0,87.772588
500323,35,M,White,Family/GP,48,60,Available and used,1,79.452339
500324,45,M,White,Medical Specialties,52,80,Available and used,0,92.3171
500325,45,M,Asian,Surgical Specialties,48,72,Available and used,0,105.50032900000001
500326,50,M,Asian,Surgical Specialties,50,80,Available and used,1,74.417633
500327,60,M,White,Medical Specialties,50,65,Available and used,0,92.65451
500328,65,M,White,Internal Medicine,44,33,Available and used,1,79.640582
500329,45,M,White,Surgical Specialties,46,55,Available and used,0,89.621539
500330,45,F,White,Medical Specialties,48,55,Available and used,0,81.13628299999999
500331,60,M,Asian,Internal Medicine,52,40,Not available,1,97.109866
500332,40,F,White,Internal Medicine,40,80,Available and used,1,90.424325
500333,40,M,White,Surgical Specialties,49,60,Not available,0,96.110318
500334,60,M,White,Family/GP,48,40,Not available,0,97.15758100000001
500335,50,M,White,Medical Specialties,40,35,Available and used,0,91.140237
500336,70,M,Hispanic,Internal Medicine,48,29,Available and used,0,77.83273
500337,45,M,White,Surgical Specialties,49,47,Available and used,0,78.526591
500338,55,F,White,Medical Specialties,44,76,Available and used,1,83.249073
500339,55,M,Black,Psychiatry,52,50,Available and used,1,86.933328
500340,40,M,Asian,Medical Specialties,46,70,Available and used,0,84.56043000000001
500341,55,M,White,Internal Medicine,50,46,Not available,0,75.52845699999999
500342,50,F,Black,Internal Medicine,48,60,Not available,1,123.09518200000001
500343,40,F,Black,Family/GP,40,42,Available and used,0,83.129299
500344,55,F,Black,Medical Specialties,40,60,Available and used,0,91.657706
500345,65,M,White,Surgical Specialties,50,24,Not available,0,72.025324
500346,50,F,White,Family/GP,47,40,Available and used,1,104.15401999999999
500347,55,F,White,Medical Specialties,45,50,Available and used,1,86.407803
500348,55,M,Asian,Medical Specialties,40,63,Available and used,1,91.465546
500349,65,M,White,Medical Specialties,48,60,Not available,0,68.003978
500350,65,M,White,Family/GP,50,60,Available and used,0,76.31885799999999
500351,45,F,Black,Family/GP,50,52,Available and used,1,99.13946
500352,40,M,White,Family/GP,48,50,Available and used,0,106.92966399999999
500353,60,M,White,Medical Specialties,50,65,Available and used,1,86.339187
500354,50,M,White,Medical Specialties,49,40,Available and used,0,70.756752
500355,65,M,White,Psychiatry,40,43,Not available,1,73.915723
500356,40,M,White,Family/GP,49,54,Available and used,0,88.340956
500357,35,M,Asian,Surgical Specialties,48,55,Available and used,0,107.48883400000001
500358,60,M,White,Medical Specialties,48,55,Available and used,0,90.324986
500359,55,M,Hispanic,Family/GP,48,52,"Avaliable, not used",1,78.854008
500360,35,F,Black,Family/GP,50,50,Available and used,1,116.40983
500361,60,M,White,Psychiatry,46,47,Available and used,0,71.019777
500362,40,F,Hispanic,Internal Medicine,49,65,Available and used,0,95.507592
500363,60,M,,Medical Specialties,50,75,Available and used,1,99.452557
500364,45,M,Asian,Surgical Specialties,49,60,Not available,0,91.509804
500365,65,M,White,Psychiatry,46,57,Available and used,0,73.91202
500366,50,M,White,Internal Medicine,49,55,Available and used,1,87.24387
500367,55,M,White,Medical Specialties,48,38,Available and used,1,87.772008
500368,55,F,White,Psychiatry,51,50,Available and used,1,114.28627900000001
500369,65,F,White,Family/GP,47,45,Not available,1,93.569665
500370,35,M,White,Medical Specialties,49,60,Available and used,0,111.572493
500371,65,M,White,Internal Medicine,46,68,Available and used,0,78.228463
500372,50,F,White,Medical Specialties,48,45,Available and used,0,94.192444
500373,60,M,White,Medical Specialties,48,28,Available and used,0,82.029955
500374,40,M,White,Family/GP,46,50,Available and used,0,78.471144
500375,40,M,White,Medical Specialties,50,78,Available and used,0,91.39769
500376,60,M,White,Medical Specialties,47,40,Available and used,0,95.244208
500377,40,M,White,Psychiatry,48,60,Available and used,0,73.667884
500378,45,F,White,Pediatrics,47,51,Available and used,1,82.13670400000001
500379,70,M,White,Pediatrics,48,26,"Avaliable, not used",1,76.050163
500380,45,F,,Medical Specialties,40,66,Available and used,0,74.0823
500381,45,M,White,Medical Specialties,47,44,Available and used,0,81.09797900000001
500382,35,F,Asian,Medical Specialties,48,30,Available and used,1,88.95074100000001
500383,50,M,White,Pediatrics,50,50,Available and used,1,68.973575
500384,60,M,Hispanic,Pediatrics,48,37,Available and used,1,100.59627900000001
500385,65,M,White,Psychiatry,48,40,Not available,1,69.080001
500386,50,M,White,Medical Specialties,50,50,Available and used,0,90.194315
500387,70,M,White,Pediatrics,52,37,Available and used,0,56.24598
500388,35,M,White,Family/GP,51,45,Not available,1,69.42468000000001
500389,65,M,White,Medical Specialties,50,71,Available and used,1,67.429705
500390,60,M,White,Medical Specialties,50,40,Not available,0,85.214393
500391,55,M,White,Internal Medicine,51,60,Available and used,0,93.81732199999999
500392,35,M,Asian,Medical Specialties,48,40,Available and used,1,100.149856
500393,60,M,White,Family/GP,45,80,Available and used,1,122.138801
500394,35,M,White,Internal Medicine,48,60,Available and used,1,75.864147
500395,35,F,Other,Internal Medicine,42,62,Available and used,0,103.65269599999999
500396,50,M,White,Family/GP,50,56,Available and used,0,82.504701
500397,40,F,White,Internal Medicine,48,33,Available and used,0,84.176045
500398,50,M,White,Medical Specialties,50,50,Available and used,0,87.44428
500399,40,M,White,Medical Specialties,47,56,Available and used,0,93.68569699999999
500400,65,M,Asian,Ob/Gyn,40,20,Not available,1,100.22195500000001
500401,45,M,White,Surgical Specialties,50,45,Available and used,0,93.288342
500402,55,F,White,Medical Specialties,52,40,Available and used,0,78.79944300000001
500403,60,M,White,Surgical Specialties,52,47,Not available,0,81.878169
500404,65,M,White,Surgical Specialties,44,30,Available and used,1,77.73540200000001
500405,40,M,Asian,Medical Specialties,50,80,Available and used,1,92.101122
500406,60,F,White,Psychiatry,46,36,Available and used,0,102.635121
500407,35,M,Hispanic,Medical Specialties,47,46,Available and used,0,82.27225
500408,70,M,White,Family/GP,48,48,Available and used,1,63.85319499999999
